"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"complement_info"	"object_lat_end"	"object_lon_end"	"object_area"	"object_mean"	"object_stddev"	"object_mode"	"object_min"	"object_max"	"object_x"	"object_y"	"object_xm"	"object_ym"	"object_perim."	"object_bx"	"object_by"	"object_width"	"object_height"	"object_major"	"object_minor"	"object_angle"	"object_circ."	"object_feret"	"object_intden"	"object_median"	"object_skew"	"object_kurt"	"object_%area"	"object_xstart"	"object_ystart"	"object_area_exc"	"object_fractal"	"object_skelarea"	"object_slope"	"object_histcum1"	"object_histcum2"	"object_histcum3"	"object_xmg5"	"object_ymg5"	"object_nb1"	"object_nb2"	"object_nb3"	"object_compentropy"	"object_compmean"	"object_compslope"	"object_compm1"	"object_compm2"	"object_compm3"	"object_symetrieh"	"object_symetriev"	"object_symetriehc"	"object_symetrievc"	"object_convperim"	"object_convarea"	"object_fcons"	"object_thickr"	"object_tag"	"object_esd"	"object_elongation"	"object_range"	"object_meanpos"	"object_centroids"	"object_cv"	"object_sr"	"object_perimareaexc"	"object_feretareaexc"	"object_perimferet"	"object_perimmajor"	"object_circex"	"object_cdexc"	"sample_id"	"sample_dataportal_descriptor"	"sample_scan_operator"	"sample_ship"	"sample_program"	"sample_stationid"	"sample_bottomdepth"	"sample_ctdrosettefilename"	"sample_other_ref"	"sample_tow_nb"	"sample_tow_type"	"sample_net_type"	"sample_net_mesh"	"sample_net_surf"	"sample_zmax"	"sample_zmin"	"sample_tot_vol"	"sample_comment"	"sample_tot_vol_qc"	"sample_depth_qc"	"sample_sample_qc"	"sample_barcode"	"sample_duration"	"sample_ship_speed"	"sample_cable_length"	"sample_cable_angle"	"sample_cable_speed"	"sample_nb_jar"	"sample_open"	"process_id"	"process_date"	"process_time"	"process_img_software_version"	"process_img_resolution"	"process_img_od_grey"	"process_img_od_std"	"process_img_background_img"	"process_particle_version"	"process_particle_threshold"	"process_particle_pixel_size_mm"	"process_particle_min_size_mm"	"process_particle_max_size_mm"	"process_particle_sep_mask"	"process_particle_bw_ratio"	"process_software"	"acq_id"	"acq_instrument"	"acq_min_mesh"	"acq_max_mesh"	"acq_sub_part"	"acq_sub_method"	"acq_hardware"	"acq_software"	"acq_author"	"acq_imgtype"	"acq_scan_date"	"acq_scan_time"	"acq_quality"	"acq_bitpixel"	"acq_greyfrom"	"acq_scan_resolution"	"acq_rotation"	"acq_miror"	"acq_xsize"	"acq_ysize"	"acq_xoffset"	"acq_yoffset"	"acq_lut_color_balance"	"acq_lut_filter"	"acq_lut_min"	"acq_lut_max"	"acq_lut_odrange"	"acq_lut_ratio"	"acq_lut_16b_median"	"acq_scan_comment"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_1"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:55:13"	"detritus"	"not-living>detritus"	""	-14.5897	-171.21401666666668	680.0	233.19	5.986	229.0	217.0	243.0	15.47	36.28	15.49	36.3	193.28	595.0	140.0	28.0	71.0	57.0	15.2	99.2	0.229	72.0	158568.0	233.0	-0.169	-0.772	0.0	595.0	140.0	680.0	1.101	85.0	0.122	228.0	232.0	237.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.636	5.324	7.0	7.0	194.0	1283.0	6.7	1.571	1.0	29.42452872043851	3.8	26.0	-0.6059295861642991	0.0	2.5730091341824264	23.076923076923077	7.401212142377124	2.7610739598505334	2.6805555555555554	3.3859649122807016	0.2294056757970479	0.0	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_2"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"07:53:02"	"artefact"	"not-living>artefact"	""	-14.5897	-171.21401666666668	683.0	218.85	18.677	239.0	171.0	243.0	59.38	18.85	59.65	18.75	298.65	9832.0	162.0	133.0	35.0	138.6	6.3	13.3	0.096	137.0	149472.0	223.0	-0.579	-0.702	0.0	9963.0	162.0	683.0	1.113	131.0	0.072	204.0	222.0	234.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.518	19.522	26.0	26.0	332.0	917.0	3.064	1.787	1.0	29.489364337912	23.166666666666668	72.0	-0.504702194357367	1.0	8.681745487777016	26.38888888888889	11.440917040311046	5.2421593127846595	2.1824817518248176	2.1510791366906474	0.09600374861139489	0.03826393658966905	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_3"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:46:33"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	10094.0	113.04	49.031	86.0	77.0	245.0	59.76	57.61	60.36	57.24	533.6	3937.0	547.0	118.0	115.0	120.6	106.6	130.0	0.446	135.5	1140979.0	90.0	1.791	1.594	0.07	4009.0	547.0	10087.0	1.104	903.0	1.637	85.0	89.0	102.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.777	1.815	2.0	2.0	462.0	10834.0	54.901	3.655	1.0	113.36701444669315	1.1308411214953271	168.0	-3.6614872364039943	1.0	43.34748761500354	29.166666666666668	5.316921478648338	1.3541223241501386	3.926470588235294	4.413223140495868	0.44451801956487313	0.009956781795221607	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_4"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:46:33"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	4247.0	114.52	55.054	76.0	73.0	243.0	43.62	40.2	43.57	40.18	294.48	13038.0	1023.0	82.0	75.0	82.3	65.7	27.4	0.615	84.8	486375.0	86.0	1.379	0.299	0.0	13089.0	1023.0	4247.0	1.075	303.0	0.526	78.0	85.0	125.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.949	1.98	2.0	2.0	310.0	4478.0	21.21	2.234	1.0	73.53535439834526	1.2424242424242424	170.0	-3.0944123314065517	0.0	48.026545581557805	32.35294117647059	4.511346655501341	1.304300903801408	3.458823529411765	3.5853658536585367	0.6174438428338124	0.0	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_5"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:44:23"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	25654.0	148.04	30.022	146.0	85.0	246.0	84.09	104.53	84.97	103.38	853.1	4918.0	1154.0	170.0	213.0	205.9	158.7	111.8	0.443	241.3	3797788.0	147.0	1.139	2.353	0.06	4950.0	1154.0	25638.0	1.096	1592.0	2.216	132.0	146.0	157.0	0.0	0.0	14.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.931	1.954	2.0	2.0	762.0	28111.0	122.694	2.057	1.0	180.73098041187035	1.2955974842767295	161.0	-1.5539340101522845	2.23606797749979	20.264793299108348	18.633540372670808	5.327297612465678	1.505133323099916	3.5394190871369293	4.140776699029126	0.4427881043402988	0.013965064006852974	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_6"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:44:23"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	17837.0	115.2	48.536	88.0	67.0	247.0	54.02	134.93	53.8	135.72	945.21	1779.0	1184.0	111.0	269.0	255.8	88.8	81.3	0.251	270.7	2054880.0	95.0	1.775	1.606	0.1	1851.0	1184.0	17820.0	1.131	1750.0	2.111	87.0	94.0	106.0	0.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.305	3.307	4.0	4.0	756.0	20055.0	41.755	2.231	1.0	150.70094146833023	2.8764044943820224	180.0	-2.7344398340248963	1.0	42.53472222222222	27.22222222222222	7.079098555864043	2.0300906969726515	3.4870848708487086	3.69140625	0.25075750885796083	0.0074911095829249125	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_7"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:40:36"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	86528.0	84.06	39.054	69.0	59.0	246.0	179.38	224.71	179.05	225.02	1890.57	2349.0	1271.0	325.0	403.0	397.1	277.4	71.3	0.304	421.9	7273916.0	72.0	3.254	9.36	0.09	2545.0	1271.0	86454.0	1.13	7384.0	17.098	68.0	71.0	76.0	0.0	0.0	34.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.038	2.111	2.0	2.0	1452.0	92061.0	42.92	1.99	1.0	331.919977293992	1.4332129963898916	187.0	-6.462090981644054	0.0	46.39543183440399	20.855614973262032	6.431303175581053	1.4352247171312555	4.481042654028436	4.763224181360202	0.303816878999555	0.0	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_8"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:44:23"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	11449.0	101.9	50.495	72.0	63.0	246.0	59.74	80.99	59.98	79.91	552.57	4884.0	1456.0	125.0	147.0	134.0	108.8	61.4	0.471	150.9	1166658.0	81.0	1.899	2.121	0.14	4954.0	1456.0	11433.0	1.103	958.0	1.37	73.0	80.0	93.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.182	2.163	2.0	2.0	540.0	12278.0	43.433	2.41	1.0	120.73657087921984	1.2293577981651376	183.0	-3.7043701799485853	1.0	49.067713444553476	27.322404371584703	5.171839390387285	1.4122020758562024	3.662251655629139	4.126865671641791	0.4698073478346564	0.00935233162818677	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_9"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:46:33"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	10226.0	109.1	43.849	88.0	78.0	245.0	60.73	69.2	60.73	69.07	456.64	9907.0	1472.0	106.0	143.0	134.5	96.8	87.6	0.616	143.8	1115661.0	91.0	2.085	2.918	0.03	9971.0	1472.0	10223.0	1.072	521.0	1.513	85.0	90.0	99.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.145	2.006	2.0	2.0	494.0	10770.0	37.025	1.932	1.0	114.10586130634033	1.3917525773195876	167.0	-4.369774919614149	0.0	40.329972502291476	26.34730538922156	4.519881196396785	1.424207641753035	3.173611111111111	3.3851851851851853	0.6151143016753435	0.0	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
"tara_pacific_2016_i10oa069_n_manta_333_microplastik_1_10"	-14.618575	-171.2075585	"2016-11-28"	"09:31:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-02-11"	"10:46:33"	"fragment"	"not-living>plastic>fragment"	""	-14.5897	-171.21401666666668	9173.0	118.43	42.276	95.0	87.0	245.0	66.07	46.51	66.14	45.88	456.36	6729.0	1474.0	134.0	93.0	134.7	86.7	175.1	0.553	134.6	1086388.0	101.0	2.041	2.689	0.02	6774.0	1474.0	9171.0	1.08	520.0	1.271	95.0	100.0	111.0	0.0	0.0	9.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.966	1.971	2.0	2.0	450.0	9777.0	62.234	1.498	1.0	108.0713946604542	1.5517241379310345	158.0	-4.027044225262487	1.0	35.46398716541417	26.582278481012654	4.761639321542454	1.409695851772437	3.3777777777777778	3.3777777777777778	0.5542387316495844	0.010442191494610644	"tara_pacific_2016_i10oa069_n_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i10oa069"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"452.8091101"	"nan"	"1"	"3"	"0"	"g100017524/oov9000612zz/oov9000612aa/oov9000612ab"	"71"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2016_i10oa069_n_manta_333"	"20200515"	"17:33:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190206_0947_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0460"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2016_i10oa069_n_manta_333"	"zooscan_sn033"	"200"	"999999"	"1.18"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190204"	"11:00:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"570"	"47638"	"1.8"	"1.15"	"41424.5"	"no"
