"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"complement_info"	"object_lat_end"	"object_lon_end"	"object_area"	"object_mean"	"object_stddev"	"object_mode"	"object_min"	"object_max"	"object_x"	"object_y"	"object_xm"	"object_ym"	"object_perim."	"object_bx"	"object_by"	"object_width"	"object_height"	"object_major"	"object_minor"	"object_angle"	"object_circ."	"object_feret"	"object_intden"	"object_median"	"object_skew"	"object_kurt"	"object_%area"	"object_xstart"	"object_ystart"	"object_area_exc"	"object_fractal"	"object_skelarea"	"object_slope"	"object_histcum1"	"object_histcum2"	"object_histcum3"	"object_xmg5"	"object_ymg5"	"object_nb1"	"object_nb2"	"object_nb3"	"object_compentropy"	"object_compmean"	"object_compslope"	"object_compm1"	"object_compm2"	"object_compm3"	"object_symetrieh"	"object_symetriev"	"object_symetriehc"	"object_symetrievc"	"object_convperim"	"object_convarea"	"object_fcons"	"object_thickr"	"object_tag"	"object_esd"	"object_elongation"	"object_range"	"object_meanpos"	"object_centroids"	"object_cv"	"object_sr"	"object_perimareaexc"	"object_feretareaexc"	"object_perimferet"	"object_perimmajor"	"object_circex"	"object_cdexc"	"sample_id"	"sample_dataportal_descriptor"	"sample_scan_operator"	"sample_ship"	"sample_program"	"sample_stationid"	"sample_bottomdepth"	"sample_ctdrosettefilename"	"sample_other_ref"	"sample_tow_nb"	"sample_tow_type"	"sample_net_type"	"sample_net_mesh"	"sample_net_surf"	"sample_zmax"	"sample_zmin"	"sample_tot_vol"	"sample_comment"	"sample_tot_vol_qc"	"sample_depth_qc"	"sample_sample_qc"	"sample_barcode"	"sample_duration"	"sample_ship_speed"	"sample_cable_length"	"sample_cable_angle"	"sample_cable_speed"	"sample_nb_jar"	"sample_open"	"process_id"	"process_date"	"process_time"	"process_img_software_version"	"process_img_resolution"	"process_img_od_grey"	"process_img_od_std"	"process_img_background_img"	"process_particle_version"	"process_particle_threshold"	"process_particle_pixel_size_mm"	"process_particle_min_size_mm"	"process_particle_max_size_mm"	"process_particle_sep_mask"	"process_particle_bw_ratio"	"process_software"	"acq_id"	"acq_instrument"	"acq_min_mesh"	"acq_max_mesh"	"acq_sub_part"	"acq_sub_method"	"acq_hardware"	"acq_software"	"acq_author"	"acq_imgtype"	"acq_scan_date"	"acq_scan_time"	"acq_quality"	"acq_bitpixel"	"acq_greyfrom"	"acq_scan_resolution"	"acq_rotation"	"acq_miror"	"acq_xsize"	"acq_ysize"	"acq_xoffset"	"acq_yoffset"	"acq_lut_color_balance"	"acq_lut_filter"	"acq_lut_min"	"acq_lut_max"	"acq_lut_odrange"	"acq_lut_ratio"	"acq_lut_16b_median"	"acq_scan_comment"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_1"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:28:36"	"artefact"	"not-living>artefact"	""	99999.0	-99999.0	725.0	219.04	18.79	236.0	169.0	243.0	60.78	18.62	61.11	18.51	306.21	9821.0	161.0	135.0	35.0	140.5	6.6	13.4	0.097	138.7	158807.0	223.0	-0.6	-0.687	0.0	9952.0	161.0	725.0	1.12	132.0	0.079	204.0	222.0	235.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.82	18.957	25.0	25.0	335.0	970.0	3.646	1.672	1.0	30.38253889873249	20.142857142857142	74.0	-0.47881694644284595	0.0	8.674214755295836	25.675675675675674	11.364554696435574	5.162330401322042	2.2014388489208634	2.1702127659574466	0.09729824741990686	0.0	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_2"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Louis Caray--Counil"	"louis.caray--counil@imev-mer.fr"	"2019-07-29"	"12:47:58"	"fiber<plastic"	"not-living>plastic>fiber"	""	99999.0	-99999.0	1159.0	220.7	19.637	240.0	153.0	246.0	81.69	25.4	81.7	25.29	404.48	7091.0	241.0	161.0	49.0	120.6	12.2	17.2	0.089	165.0	255795.0	226.0	-1.102	0.809	0.43	7218.0	241.0	1154.0	1.173	194.0	0.129	208.0	225.0	236.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.651	16.695	22.0	22.0	414.0	2678.0	11.105	2.208	1.0	38.414640859287665	10.083333333333334	93.0	-0.3737075332348599	0.0	9.062075215224286	21.50537634408602	11.892645150071166	4.857144677628075	2.4484848484848483	3.3388429752066116	0.08884908151756253	0.0	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_3"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:29:59"	"fragment"	"not-living>plastic>fragment"	""	99999.0	-99999.0	54356.0	207.64	23.526	226.0	102.0	245.0	176.58	92.79	176.11	92.8	1188.98	5902.0	1433.0	348.0	207.0	365.4	189.4	179.0	0.483	375.3	11286306.0	216.0	-1.259	0.996	0.0	6095.0	1433.0	54354.0	1.064	1248.0	5.817	195.0	215.0	224.0	0.0	0.0	15.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.052	2.032	2.0	2.0	1106.0	64650.0	231.19	1.67	1.0	263.07453068213295	1.9312169312169312	143.0	-0.35365391897008724	1.0	11.558466576767483	16.783216783216783	5.099952129135005	1.608479435177146	3.1706666666666665	3.2575342465753425	0.48314519510771814	0.0042892784938057225	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_4"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Louis Caray--Counil"	"louis.caray--counil@imev-mer.fr"	"2019-07-29"	"13:09:44"	"fiber<plastic"	"not-living>plastic>fiber"	""	99999.0	-99999.0	779.0	228.44	14.242	243.0	188.0	253.0	27.4	23.09	27.2	23.16	204.25	4812.0	1459.0	55.0	40.0	50.4	19.7	21.2	0.235	56.9	177951.0	231.0	-0.529	-0.525	11.94	4850.0	1459.0	686.0	1.178	115.0	0.088	215.0	227.0	236.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.545	3.77	4.0	4.0	185.0	1400.0	5.773	2.069	1.0	31.493707392885515	2.5	65.0	-0.6073194856577647	0.0	6.128523901243215	21.53846153846154	7.788756192876368	2.176270112715456	3.5789473684210527	4.08	0.20714461364500175	0.0	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_5"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:31:33"	"fiber<plastic"	"not-living>plastic>fiber"	""	99999.0	-99999.0	249761.0	143.4	60.721	88.0	65.0	255.0	606.31	563.19	596.91	562.74	9640.11	11837.0	1854.0	1074.0	943.0	822.8	386.5	30.9	0.034	1248.8	35816831.0	113.0	0.559	-1.307	6.28	12693.0	1854.0	234077.0	1.299	18533.0	16.398	89.0	107.0	188.0	0.0	0.0	42.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	5.28	7.0	7.0	4030.0	645135.0	9.134	6.078	1.0	563.9198364418465	2.1266149870801034	190.0	-1.423469387755102	9.0	42.53835425383542	32.10526315789474	19.92496937346582	2.581565015296557	7.718174539631705	11.713244228432563	0.03165297530923787	0.01860214982999921	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_6"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:29:59"	"fragment"	"not-living>plastic>fragment"	""	99999.0	-99999.0	19860.0	99.27	41.678	81.0	76.0	247.0	80.49	94.44	81.01	94.18	723.02	8123.0	2482.0	163.0	179.0	172.9	146.2	118.2	0.477	181.5	1971506.0	84.0	2.594	5.304	0.04	8193.0	2482.0	19852.0	1.1	1411.0	3.951	80.0	83.0	89.0	0.0	0.0	12.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.038	2.029	2.0	2.0	680.0	20884.0	41.927	1.99	1.0	159.01741212345374	1.1849315068493151	171.0	-6.348517404383328	1.0	42.30885463886371	24.561403508771928	5.131403475860905	1.2917225900507396	3.9725274725274726	4.179190751445087	0.4772407680389998	0.007097376868410657	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_7"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:29:59"	"fragment"	"not-living>plastic>fragment"	""	99999.0	-99999.0	125214.0	75.25	35.095	63.0	59.0	250.0	286.54	199.39	287.7	199.68	2137.29	7254.0	2583.0	555.0	422.0	473.9	336.4	9.5	0.344	556.0	9422685.0	65.0	3.833	13.903	0.05	7606.0	2583.0	125148.0	1.111	9167.0	31.322	62.0	64.0	68.0	0.0	0.0	76.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.637	2.615	3.0	3.0	1950.0	135781.0	47.02	2.665	1.0	399.28362895874994	1.4107142857142858	191.0	-10.753846153846155	1.4142135623730951	46.51162790697674	18.32460732984293	6.040773685471473	1.571675324811483	3.843525179856115	4.508438818565401	0.3443695421524105	0.003997634100711401	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_8"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:28:38"	"badfocus<artefact"	"not-living>artefact>badfocus"	""	99999.0	-99999.0	13717.0	239.0	3.749	242.0	227.0	250.0	81.42	65.92	81.39	65.93	1649.37	4974.0	2603.0	160.0	129.0	147.5	118.4	13.9	0.063	167.2	3278364.0	240.0	-0.367	-0.582	8.53	5062.0	2603.0	12547.0	1.51	3685.0	3.112	235.0	238.0	240.0	0.0	0.0	11.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.932	1.992	2.0	2.0	574.0	16516.0	196.354	2.7	1.0	132.15531330647372	1.2542372881355932	23.0	-0.9166666666666666	0.0	1.6736401673640167	17.391304347826086	14.721454013002718	1.490893159594575	9.874251497005988	11.141891891891891	0.057984037258872925	0.0	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_9"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-04-15"	"07:29:59"	"fragment"	"not-living>plastic>fragment"	""	99999.0	-99999.0	29497.0	73.03	54.13	47.0	44.0	248.0	122.42	124.2	120.72	123.49	1112.2	5919.0	2671.0	217.0	244.0	213.6	175.8	93.3	0.3	246.8	2154147.0	52.0	2.383	4.137	0.14	6033.0	2671.0	29456.0	1.13	2987.0	5.188	47.0	51.0	59.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.499	2.449	2.0	2.0	918.0	32592.0	23.661	2.516	1.0	193.79563166143114	1.2159090909090908	204.0	-6.027213227695487	1.4142135623730951	73.94221552786526	26.47058823529412	6.479148018373854	1.4391632738654152	4.502024291497976	5.196261682242991	0.29934641453645305	0.008240017086517146	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
"tara_pacific_2018_i99oa177_d_manta_333_microplastik_1_10"	32.474412	166.1516865	"2018-05-30"	"06:13:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Louis Caray--Counil"	"louis.caray--counil@imev-mer.fr"	"2019-07-29"	"12:47:58"	"fiber<plastic"	"not-living>plastic>fiber"	""	99999.0	-99999.0	4753.0	216.99	29.336	242.0	123.0	255.0	60.3	72.26	60.46	72.25	692.95	4884.0	3267.0	121.0	122.0	90.8	66.6	170.8	0.124	132.4	1031333.0	225.0	-0.771	-0.357	21.06	4991.0	3267.0	3752.0	1.391	628.0	0.323	188.0	212.0	233.0	0.0	0.0	6.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.903	3.907	5.0	5.0	482.0	9805.0	125.61	1.904	1.0	77.79272174262981	1.3582089552238805	132.0	-0.40440472390679844	0.0	13.364671183003823	21.96969696969697	11.313626046867476	2.1549763898795193	5.25	7.615384615384615	0.09817620139776577	0.0	"tara_pacific_2018_i99oa177_d_manta_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa177"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"107.6402406"	"pas_de_flowmeter_no_end_position_gps_so_no_vol_filtered_calculated"	"2"	"3"	"0"	"g100013738/oov9000648zz/oov9000648aa/oov9000648ab"	"22"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa177_d_manta_333"	"20200514"	"23:29:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190314_0804_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0128"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa177_d_manta_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190327"	"11:56:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"564"	"47111"	"1.8"	"1.15"	"40966.65"	"no"
