"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_hierarchy"	"complement_info"	"object_lat_end"	"object_lon_end"	"object_area"	"object_mean"	"object_stddev"	"object_mode"	"object_min"	"object_max"	"object_x"	"object_y"	"object_xm"	"object_ym"	"object_perim."	"object_bx"	"object_by"	"object_width"	"object_height"	"object_major"	"object_minor"	"object_angle"	"object_circ."	"object_feret"	"object_intden"	"object_median"	"object_skew"	"object_kurt"	"object_%area"	"object_xstart"	"object_ystart"	"object_area_exc"	"object_fractal"	"object_skelarea"	"object_slope"	"object_histcum1"	"object_histcum2"	"object_histcum3"	"object_xmg5"	"object_ymg5"	"object_nb1"	"object_nb2"	"object_nb3"	"object_compentropy"	"object_compmean"	"object_compslope"	"object_compm1"	"object_compm2"	"object_compm3"	"object_symetrieh"	"object_symetriev"	"object_symetriehc"	"object_symetrievc"	"object_convperim"	"object_convarea"	"object_fcons"	"object_thickr"	"object_tag"	"object_esd"	"object_elongation"	"object_range"	"object_meanpos"	"object_centroids"	"object_cv"	"object_sr"	"object_perimareaexc"	"object_feretareaexc"	"object_perimferet"	"object_perimmajor"	"object_circex"	"object_cdexc"	"sample_id"	"sample_dataportal_descriptor"	"sample_scan_operator"	"sample_ship"	"sample_program"	"sample_stationid"	"sample_bottomdepth"	"sample_ctdrosettefilename"	"sample_other_ref"	"sample_tow_nb"	"sample_tow_type"	"sample_net_type"	"sample_net_mesh"	"sample_net_surf"	"sample_zmax"	"sample_zmin"	"sample_tot_vol"	"sample_comment"	"sample_tot_vol_qc"	"sample_depth_qc"	"sample_sample_qc"	"sample_barcode"	"sample_duration"	"sample_ship_speed"	"sample_cable_length"	"sample_cable_angle"	"sample_cable_speed"	"sample_nb_jar"	"sample_open"	"process_id"	"process_date"	"process_time"	"process_img_software_version"	"process_img_resolution"	"process_img_od_grey"	"process_img_od_std"	"process_img_background_img"	"process_particle_version"	"process_particle_threshold"	"process_particle_pixel_size_mm"	"process_particle_min_size_mm"	"process_particle_max_size_mm"	"process_particle_sep_mask"	"process_particle_bw_ratio"	"process_software"	"acq_id"	"acq_instrument"	"acq_min_mesh"	"acq_max_mesh"	"acq_sub_part"	"acq_sub_method"	"acq_hardware"	"acq_software"	"acq_author"	"acq_imgtype"	"acq_scan_date"	"acq_scan_time"	"acq_quality"	"acq_bitpixel"	"acq_greyfrom"	"acq_scan_resolution"	"acq_rotation"	"acq_miror"	"acq_xsize"	"acq_ysize"	"acq_xoffset"	"acq_yoffset"	"acq_lut_color_balance"	"acq_lut_filter"	"acq_lut_min"	"acq_lut_max"	"acq_lut_odrange"	"acq_lut_ratio"	"acq_lut_16b_median"	"acq_scan_comment"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_1"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:38:25"	"artefact"	"not-living>artefact"	""	41.964499999999994	-134.42758333333333	744.0	218.9	18.833	242.0	169.0	243.0	63.14	19.4	63.48	19.28	309.62	9823.0	164.0	134.0	36.0	143.5	6.6	13.7	0.098	137.8	162863.0	223.0	-0.598	-0.699	0.0	9952.0	164.0	744.0	1.124	134.0	0.08	204.0	222.0	234.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.105	18.161	24.0	24.0	335.0	1036.0	3.868	1.567	1.0	30.77808020788433	20.571428571428573	74.0	-0.48296593186372727	0.0	8.679762448606668	25.675675675675674	11.36515141415488	5.059325468236689	2.246376811594203	2.1527777777777777	0.09728803056278068	0.0	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_2"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Louis Caray--Counil"	"louis.caray--counil@imev-mer.fr"	"2019-07-29"	"12:56:03"	"fiber<plastic"	"not-living>plastic>fiber"	""	41.964499999999994	-134.42758333333333	2911.0	233.42	27.501	254.0	143.0	255.0	60.56	24.22	60.9	24.12	290.98	14366.0	5461.0	106.0	53.0	93.0	39.8	163.4	0.432	107.4	679482.0	250.0	-1.213	0.189	56.99	14386.0	5461.0	1252.0	1.269	204.0	0.107	187.0	208.0	230.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.103	3.165	3.0	3.0	314.0	3586.0	9.809	4.258	1.0	60.88021283408969	2.325	112.0	-0.23866401238664028	0.0	11.995544512038386	25.0	8.224146245638423	3.023998791351585	2.7196261682242993	3.129032258064516	0.18579251554867895	0.0	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_3"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:48:27"	"detritus"	"not-living>detritus"	""	41.964499999999994	-134.42758333333333	1773.0	118.52	61.914	74.0	67.0	245.0	29.14	20.67	29.36	20.37	179.14	5469.0	5560.0	56.0	44.0	55.2	40.9	14.6	0.694	57.4	210137.0	81.0	1.03	-0.628	0.06	5507.0	5560.0	1772.0	1.057	94.0	0.219	73.0	80.0	163.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.932	1.875	2.0	2.0	196.0	1871.0	2.912	1.579	1.0	47.51266897171157	1.3414634146341464	178.0	-2.454968944099379	1.0	52.311846101923734	34.831460674157306	4.25227332640294	1.3540758637149028	3.1403508771929824	3.2545454545454544	0.6949723394602058	0.023755716907278995	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_4"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:45:15"	"fiber<plastic"	"not-living>plastic>fiber"	""	41.964499999999994	-134.42758333333333	7337.0	180.15	48.358	243.0	79.0	243.0	354.45	224.27	361.94	227.34	1944.95	13037.0	6377.0	736.0	335.0	207.6	45.0	158.5	0.024	776.0	1321746.0	186.0	-0.217	-1.391	0.0	13039.0	6377.0	7337.0	1.238	825.0	0.447	134.0	185.0	227.0	0.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.057	63.059	84.0	84.0	2138.0	94191.0	252.513	4.172	1.0	96.65277305758944	4.622222222222222	164.0	-0.6213544241225901	8.54400374531753	26.644462947543712	29.268292682926827	22.707030647667878	9.059463127295771	2.506443298969072	9.350961538461538	0.024371887893300533	0.09974753465229527	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_5"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:48:27"	"detritus"	"not-living>detritus"	""	41.964499999999994	-134.42758333333333	1540.0	229.36	7.404	230.0	197.0	244.0	25.35	25.32	25.36	25.23	194.59	6798.0	6576.0	52.0	50.0	58.6	33.5	133.3	0.511	59.8	353207.0	230.0	-0.45	0.541	0.06	6814.0	6576.0	1539.0	1.081	118.0	0.246	223.0	229.0	234.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.257	2.3	2.0	2.0	200.0	1703.0	6.223	3.368	1.0	44.28079605079555	1.7352941176470589	47.0	-0.45241038318912175	0.0	3.0519707010812693	14.893617021276595	4.970674233862171	1.5294382258037449	3.25	3.305084745762712	0.5086034023799807	0.0	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_6"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:44:52"	"fragment"	"not-living>plastic>fragment"	""	41.964499999999994	-134.42758333333333	2043.0	119.76	61.74	71.0	66.0	243.0	26.68	27.71	26.63	27.62	196.59	5342.0	6603.0	56.0	52.0	53.7	48.5	154.4	0.664	56.9	244674.0	86.0	1.034	-0.6	0.0	5359.0	6603.0	2043.0	1.066	120.0	0.215	73.0	85.0	162.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.849	1.939	2.0	2.0	212.0	2182.0	10.74	1.413	1.0	51.002239067456024	1.1020408163265305	177.0	-2.292410714285714	0.0	51.77020708082832	35.02824858757062	4.358449746173149	1.2610742920399467	3.456140350877193	3.6481481481481484	0.6615242640917259	0.0	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_7"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:44:52"	"fragment"	"not-living>plastic>fragment"	""	41.964499999999994	-134.42758333333333	10844.0	89.82	56.141	58.0	50.0	246.0	60.45	63.52	61.77	62.72	561.39	5781.0	6914.0	126.0	132.0	149.6	92.3	51.0	0.432	161.9	973967.0	64.0	1.867	1.927	0.07	5885.0	6914.0	10836.0	1.105	975.0	1.54	58.0	63.0	79.0	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.056	2.078	2.0	2.0	512.0	11831.0	19.838	1.944	1.0	117.50323239429673	1.6304347826086956	196.0	-3.92214967353089	2.23606797749979	62.34691605433089	28.57142857142857	5.389250405534597	1.5562541278014344	3.462962962962963	3.74	0.4326663679169677	0.021480802592769462	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_8"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:44:52"	"fragment"	"not-living>plastic>fragment"	""	41.964499999999994	-134.42758333333333	3684.0	105.25	61.116	62.0	42.0	243.0	40.13	30.75	40.21	30.77	280.15	7631.0	6935.0	79.0	63.0	76.9	61.0	155.9	0.59	83.0	387749.0	74.0	1.31	0.102	0.0	7651.0	6935.0	3684.0	1.079	228.0	0.381	64.0	73.0	119.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.838	1.858	2.0	2.0	280.0	3925.0	17.419	1.506	1.0	68.48806087782263	1.2622950819672132	201.0	-2.177865612648221	0.0	57.95724465558195	30.34825870646766	4.613156844232557	1.3674714931117937	3.3734939759036147	3.6363636363636362	0.590491190603306	0.0	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_9"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Louis Caray--Counil"	"louis.caray--counil@imev-mer.fr"	"2019-07-29"	"12:47:58"	"fiber<plastic"	"not-living>plastic>fiber"	""	41.964499999999994	-134.42758333333333	3634.0	181.12	48.512	243.0	77.0	244.0	203.52	36.17	202.48	36.39	896.61	8673.0	7126.0	371.0	67.0	206.7	22.4	5.0	0.057	371.0	658174.0	189.0	-0.242	-1.415	0.03	9013.0	7126.0	3633.0	1.216	396.0	0.23	132.0	188.0	228.0	0.0	0.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.076	27.275	36.0	36.0	872.0	15387.0	46.947	2.092	1.0	68.02170613537697	9.409090909090908	167.0	-0.6039185555128697	2.0	27.05388692579505	29.34131736526946	14.881946677489584	6.155186418448869	2.417789757412399	4.333333333333333	0.05674013644138566	0.03318159794312059	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
"tara_pacific_2018_i99oa203_d_manta2_333_microplastik_1_10"	41.9585335	-134.4447915	"2018-07-03"	"00:11:00"	"http://www.zooscan.obs-vlfr.fr//"	0.0	0.16	"validated"	"Juliette Maury"	"juliette.maury@imev-mer.fr"	"2019-03-05"	"14:48:27"	"detritus"	"not-living>detritus"	""	41.964499999999994	-134.42758333333333	1075.0	186.24	44.556	243.0	96.0	245.0	25.13	19.36	24.24	18.86	176.89	4652.0	7129.0	53.0	35.0	54.6	25.1	161.4	0.432	55.4	200203.0	194.0	-0.397	-1.15	0.19	4667.0	7129.0	1073.0	1.09	101.0	0.071	149.0	193.0	226.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.433	2.489	2.0	2.0	172.0	1297.0	6.95	2.736	1.0	36.99638510165959	2.2	149.0	-0.6511524822695034	1.0	24.162371134020617	30.201342281879196	5.403478221223073	1.6790469048998249	3.2181818181818183	3.2181818181818183	0.43039087328696707	0.03052812554363318	"tara_pacific_2018_i99oa203_d_manta2_333"	"nan"	"juliette_maury"	"tara"	"tara_pacific"	"i99oa203"	"99999"	"nan"	"nan"	"1"	"2"	"manta"	"333"	"0.0976"	"0.16"	"0"	"225.8817585"	"beaufort_4_mer_belle_peu_agitee"	"1"	"3"	"0"	"g100013003/oov9000677zz/oov9000677aa/oov9000677ab/oov9000677ac"	"33"	"99999"	"99999"	"99999"	"99999"	"1"	"nan"	"zooprocess_tara_pacific_2018_i99oa203_d_manta2_333"	"20200513"	"21:09:00.000"	"7.21_picheral_cnrs"	"2400"	"nan"	"0"	"20190304_1014_background_large_manual.tif"	"6.15_2009/10/25_picheral_cnrs"	"243"	"0.0106"	"0.3"	"100"	"include"	"0.0056"	"zooprocess_pid_to_ecotaxa_8.20_2024/01/19"	"microplastik_tara_pacific_2018_i99oa203_d_manta2_333"	"zooscan_sn033"	"200"	"999999"	"2"	"motoda"	"hydroptic_v3_window7"	"vuescan9.0.51"	"juliette_maury"	"nan"	"20190304"	"10:59:00.000"	"nan"	"3"	"2"	"3"	"3"	"1"	"29048"	"50384"	"5781"	"3289"	"manual"	"no"	"593"	"49488"	"1.8"	"1.15"	"43033.85"	"no"
